,numerical_top_50,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature
0,0.0,0.1336078906190742,0.8372093023255813,0.6515426497277677,0.14250077954474585,0.5603799185888738,0.0,0.13657304205676923,0.4936659672029222,0.12665647298674823,0.021522207004500138,0.22342995169082125,0.5
1,0.02040816326530612,0.08653892074265312,0.9999999999999999,0.47005444646098016,0.46282280239249374,0.3202170963364993,0.0,0.29112795363352656,0.6436620812932308,0.12996941896024464,0.1151565676758568,0.18719806763285018,0.5
2,0.04081632653061224,0.13235777473754584,0.7906976744186046,0.7223230490018149,0.42313688805737454,0.3527815468113975,0.0,0.06925248922573934,0.4242636201134685,0.0,0.5060015482378162,0.6920289855072463,0.5
3,0.061224489795918366,0.06546955195284954,0.7441860465116279,0.9727767695099818,0.14108342546134878,0.6146540027137043,0.00022567567567567567,0.09332738891365733,0.6436620812932308,0.1070336391437309,0.2849267989757812,0.7004830917874396,0.5
4,0.08163265306122448,0.07131840872889905,0.7441860465116279,0.279491833030853,0.9999999999999999,0.44911804613297157,0.0,0.1410313568137911,0.7893059765291054,0.12487257900101936,0.7100201611188146,0.7524154589371981,0.5
5,0.1020408163265306,0.05225765309705677,0.5581395348837209,0.9437386569872959,0.7916489497406243,0.33649932157394835,9.797297297297297e-05,0.11130925843364542,0.6394652988264552,0.6992864424057086,0.1066412596871199,0.576086956521739,0.5
6,0.12244897959183673,0.11190363151640459,0.9999999999999999,0.6352087114337568,0.33951299713694477,0.76797829036635,1.5e-05,0.1380591469757765,0.8716872619880314,0.25840978593272174,0.8632531709101428,0.7053140096618358,0.5
7,0.14285714285714285,0.04034081810954382,0.7906976744186046,0.6261343012704175,0.2133684837146016,0.6485753052917231,0.003966216216216216,0.0,0.9635501670941167,0.780835881753313,0.3692291987443963,0.5024154589371981,0.0
8,0.16326530612244897,0.15358165223180797,0.7209302325581395,0.9310344827586208,0.0758851376250815,0.576662143826323,0.0,0.1068509436766236,0.6927022615994404,0.7196738022426097,0.14885200717974023,0.7379227053140096,0.5
9,0.18367346938775508,0.08014226037806871,0.8372093023255813,0.9655172413793105,0.1118859313433682,0.8534599728629578,0.00012094594594594597,0.07356219349086046,0.7765601927411206,0.45718654434250766,0.18310889556200183,0.86231884057971,0.5
